v,omega,ul,ur,v_next,omega_next
0,0,0,0,0.0,0.0
0.0,0.0,10.000000093465934,9.999999612445091,0.09999999852955511,-4.810208427130647e-08
0.09999999852955511,-4.810208427130647e-08,10.000000091429921,9.999996654670143,0.19999998226005544,-3.917780620810163e-07
0.19999998226005544,-3.917780620810163e-07,10.000000088090752,9.363921144838718,0.2968195884247028,-0.06360828610326551
0.2968195884247028,-0.06360828610326551,10.000000082171374,8.60230261010264,0.3898311018860729,-0.20337803331013887
0.3898311018860729,-0.20337803331013887,10.000000077105211,8.053498863205133,0.4800985965876246,-0.39802815470014663
0.4800985965876246,-0.39802815470014663,10.000000059262808,7.441170576675303,0.5673044497673152,-0.6539111029588971
0.5673044497673152,-0.6539111029588971,10.000000037324735,7.0595040212148605,0.6526019700600132,-0.9479607045698846
0.6526019700600132,-0.9479607045698846,9.9999998760563,6.092632976836683,0.7330651343244781,-1.3386973944918463
0.7330651343244781,-1.3386973944918463,9.999999592136383,5.533785404799765,0.8107340593091588,-1.7853188132255082
0.8107340593091588,-1.7853188132255082,8.013780080602226,4.674277006880138,0.8741743447465706,-2.1192691205977168
0.8741743447465706,-2.1192691205977168,3.7031755850207135,2.4362087412987714,0.9048712663781681,-2.245965804969911
0.9048712663781681,-2.245965804969911,2.8144284506812087,1.9993127936025517,0.9289399725995868,-2.327477370677777
0.9289399725995868,-2.327477370677777,2.3083307250972607,1.7814444024265697,0.9493888482372059,-2.380166002944846
0.9493888482372059,-2.380166002944846,1.8686533260496305,1.5278633650416045,0.9663714316926622,-2.414244999045649
0.9663714316926622,-2.414244999045649,1.481524936669929,1.2620032524736795,0.9800890726383802,-2.436197167465274
0.9800890726383802,-2.436197167465274,1.1384766076243689,0.9994785987109972,0.990778848670057,-2.450096968356611
0.990778848670057,-2.450096968356611,0.8342390720490729,0.7505672897895183,0.99870288047925,-2.4584641465825667
0.99870288047925,-2.4584641465825667,0.5653727677611623,0.5218482746030526,1.0041389856910712,-2.462816595898378
1.0041389856910712,-2.462816595898378,0.3243484322624203,0.3123790855733451,1.00732262328025,-2.4640135305672852
1.00732262328025,-2.4640135305672852,0.11639873418859564,0.13125895015923258,1.0085609117019891,-2.4625275089702217
1.0085609117019891,-2.4625275089702217,-0.059331316918413785,-0.01986145873649835,1.0081649478237147,-2.45858052315203
1.0081649478237147,-2.45858052315203,-0.20545628512875966,-0.14206800348411294,1.0064273263806502,-2.4522416949875656
1.0064273263806502,-2.4522416949875656,-0.32449009770648646,-0.23703094286190987,1.0036197211778082,-2.443495779503108
1.0036197211778082,-2.443495779503108,-0.41888160136830327,-0.3068063218898864,0.9999912815615172,-2.432288251555266
